Continent,Country,⚠,Visa needed pre-visit?,Duration,Language(s),Currency (:$),Auswärtiges Amt information
North America,Guatemala,⚠,no,90 days,,Guatemalan quetzal (1:0.13),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/GuatemalaSicherheit_node.html
North America,Haiti,⚠,no,3 months,"French, Haitian Creole",Haitian gourde (10:0.23),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/HaitiSicherheit_node.html
North America,Jamaica,,no,90 days,"English, Patois","Jamaican dollar (10,000:99)",http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/JamaikaSicherheit_node.html
North America,Mexico,,no,,Spanish,Mexican peso (100:7.9),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/MexikoSicherheit_node.html
"North America, South America",Panama,,no,180 days; transfer ticket required,"Spanish, English, others",Panamanian balboa (1:1),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/PanamaSicherheit_node.html
South America,Argentina,,no,90 days,Spanish,Argentine peso (1:0.15),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/ArgentinienSicherheit_node.html
South America,Bolivia,,no,90 days,Spanish,Bolivian boliviano (1:0.14),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/BolivienSicherheit_node.html
South America,Brazil,,no,3 months during 6 months,Portuguese (Brazilian),Brazilian real (1:0.41),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/BrasilienSicherheit_node.html
South America,Chile,,no,90 days,Spanish,Chilean peso (100:0.20),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/ChileSicherheit_node.html
South America,Columbia,,no,up to 180 days,Spanish,"Colombian peso (10,000:5.3)",http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/KolumbienSicherheit_node.html
South America,Ecuador,,no,90 days,Spanish,"United States dollar
",http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/EcuadorSicherheit_node.html
South America,Paraguay,,n/a,,English,"Paraguayan guaraní (10,000:2.21)",http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/ParaguaySicherheit_node.html
South America,Peru,,no,183 days,Spanish,Peruvian nuevo sol (1:0.37),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/PeruSicherheit_node.html
South America,Suriname,,yes,,Dutch,Surinamese dollar (1:0.31),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/SurinameSicherheit_node.html
South America,Uruguay,,no,90 days,Spanish,Uruguayan peso (100:4.91),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/UruguaySicherheit_node.html
South America,Venezuela,,no,90 days,Spanish,Venezuelan bolívar (1:0.16),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/VenezuelaSicherheit_node.html
